Delta,Original,Pval,Reject,CI_low,CI_high
0.05,0.9287594556808472,2.134197997095308e-137,1.0,0.9251037492334695,0.9256286427319198
0.05,0.9683449268341064,6.390709231572458e-78,1.0,0.9665686810223324,0.9669032861860531
0.05,0.95028156042099,1.7261391645569976e-58,1.0,0.9478533565736232,0.9483766913914266
0.05,0.7576099038124084,0.0005239787447054448,1.0,0.7582551648931272,0.759931431166672
0.05,0.9365540146827698,4.389777590110058e-149,1.0,0.9324040791440964,0.9329767151545525
0.05,0.9037311673164368,7.398734941190206e-47,1.0,0.8996231147494048,0.9006045165810853
0.05,0.8739553093910217,7.907419172515107e-102,1.0,0.8671165171272145,0.8682509613865032
0.05,0.8761705160140991,1.870066215562276e-17,1.0,0.8733038190272226,0.8743764718148337
0.05,0.7040639519691467,2.528143874061235e-35,1.0,0.7086558554443494,0.7103718753186092
0.05,0.7809991836547852,0.8889083428100548,0.0,0.7802615051239148,0.7818500674278126
