Delta,Original,Pval,Reject,CI_low,CI_high
0.05,0.4562199413776397,1.0995310110272604e-35,1.0,0.46165036080215544,0.46366680196191695
0.05,0.2941937148571014,3.2783397663544156e-43,1.0,0.2979026625813479,0.29912582423076683
0.05,0.4104107916355133,2.5917942566783055e-17,1.0,0.4136225849127469,0.4155541486406627
0.05,0.69744473695755,0.6702759677650052,0.0,0.696788127113288,0.6984657485595293
0.05,0.3506168127059936,3.789174244948458e-12,1.0,0.34761880653958493,0.34893739909071747
0.05,0.755867600440979,1.2252000166552404e-128,1.0,0.7466159236586954,0.7479874136649701
0.05,0.3033773303031921,0.8986871896065713,0.0,0.30269518452873506,0.3039762646378013
0.05,0.3719179332256317,0.0006907928547153112,1.0,0.37240142935290615,0.37372319314703667
0.05,0.6059870719909668,4.584680823792518e-119,1.0,0.5932719799602432,0.5952286380266744
0.05,0.4969456493854522,3.455986096422135e-14,1.0,0.49411499307068185,0.4952768599042098
