Delta,Original,Pval,Reject,CI_low,CI_high
0.05,0.4018267393112182,0.6654568097349729,0.0,0.4013169956217953,0.40215223581088105
0.05,0.3599229156970978,0.00726002731035412,1.0,0.3600820020171137,0.3609422237423925
0.05,0.4105263352394104,0.288211171411537,0.0,0.41033875631774497,0.4111575876823561
0.05,0.3745794594287872,0.31534388531457136,0.0,0.3744054053036478,0.37511911450345253
0.05,0.5163520574569702,1.1847261688281113e-57,1.0,0.5122107988135031,0.5131093528433629
0.05,0.4491763710975647,1.5190409234650978e-36,1.0,0.4462049827952436,0.4470008474807688
0.05,0.4422943890094757,5.691536908529264e-44,1.0,0.4392118653560249,0.4399702069794567
0.05,0.4342635571956634,0.03014396379139348,1.0,0.43343821515646463,0.4342219170371008
0.05,0.4637724459171295,1.5783812387692006e-09,1.0,0.46468173895616327,0.4655551208065053
0.05,0.49083411693573,0.017417639320558228,1.0,0.4898076926036648,0.49073522955934484
