CFX,AAAI δ_max,Wilks δ_max,MILP δ_max,Difference
"[1.         1.         0.         0.         0.64705882 0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.20254209 1.         1.
 0.         0.         0.         1.         1.         1.
 1.         0.         1.         1.         1.         1.
 0.         1.         0.         0.         1.         0.
 0.         1.         1.         1.         1.         1.
 0.         0.         0.         0.48214286 0.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         0.
 1.         1.         1.         0.         1.         0.        ]",0.054449288758308775,0.2485,0.0867,0.1618
"[1.         1.         0.         0.         0.11764706 0.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10448993 1.         0.
 0.         0.         0.         1.         1.         1.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         0.17857143 0.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         0.
 1.         0.         1.         0.         1.         0.        ]",0.054449288758308775,0.20475,0.06964999999999999,0.1351
"[1.         1.         1.         0.         0.82352941 0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.75806097 1.         1.
 0.         0.         0.         1.         1.         1.
 1.         0.         1.         1.         1.         1.
 0.         1.         0.         0.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.         0.14285714 0.         0.
 1.         1.         1.         1.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         1.         1.         0.        ]",0.054449288758308775,0.18020000000000003,0.059300000000000005,0.12090000000000002
"[1.         1.         1.         0.         0.47058824 0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.48332783 1.         1.
 1.         0.         0.         1.         1.         0.
 0.         0.         1.         1.         1.         1.
 0.         1.         0.         0.         1.         1.
 0.         1.         0.         0.         0.         1.
 0.         0.         0.         0.17857143 0.         0.
 1.         1.         1.         0.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         1.         1.         0.        ]",0.054449288758308775,0.14590000000000003,0.06340000000000001,0.08250000000000002
"[1.         0.         0.         0.         0.64705882 0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.41339276 1.         1.
 0.         0.         0.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 0.         1.         0.         0.         1.         0.
 0.         1.         1.         1.         1.         1.
 0.         0.         0.         0.41071429 1.         0.
 0.         1.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         1.         0.         1.         0.        ]",0.054449288758308775,0.2322,0.08330000000000001,0.14889999999999998
"[1.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.12576699 1.         0.
 0.         0.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         0.
 0.         1.         0.         0.         1.         0.
 0.         1.         1.         1.         1.         1.
 1.         1.         0.         0.125      0.         0.
 1.         1.         1.         0.         1.         0.
 0.         0.         1.         1.         1.         0.
 1.         0.         1.         0.         1.         0.        ]",0.054449288758308775,0.16870000000000002,0.060700000000000004,0.10800000000000001
"[1.         0.         0.         0.         0.19829555 0.
 0.         0.         1.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         0.34824475 1.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.         1.         1.         1.         1.
 0.         1.         0.         0.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.         0.17857143 0.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         1.         1.         0.        ]",0.054449288758308775,0.1411,0.054900000000000004,0.0862
"[1.         1.         0.         0.         0.29411765 0.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05188731 1.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         1.         0.         0.         1.         1.
 0.         1.         1.         1.         1.         1.
 0.         0.         0.         0.17857143 0.         0.
 1.         1.         1.         0.         1.         1.
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         1.         0.        ]",0.054449288758308775,0.16880000000000003,0.060700000000000004,0.10810000000000003
"[1.         0.         0.         0.         0.20588235 0.
 0.         0.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09298999 1.         1.
 0.         0.         0.         1.         1.         0.
 0.         0.         1.         1.         1.         0.
 0.         1.         0.         0.         1.         1.
 0.         1.         1.         1.         1.         1.
 0.         0.         0.         0.30357143 1.         0.
 0.         1.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         1.         1.         0.        ]",0.054449288758308775,0.17995,0.06540000000000001,0.11454999999999999
"[1.         1.         1.         0.         0.47058824 1.
 0.         0.         0.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.23137449 1.         1.
 0.         0.         0.         1.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         0.         0.         0.         1.         0.
 0.         1.         1.         0.         0.         1.
 1.         1.         1.         0.19642857 0.         1.
 0.         1.         1.         1.         1.         1.
 0.         0.         1.         1.         1.         1.
 1.         0.         0.         1.         1.         0.        ]",0.054449288758308775,0.23520000000000002,0.0699,0.1653
