CFX,AAAI δ_max,Wilks δ_max,MILP δ_max,Difference
"[0.05882353 1.         0.50819672 0.         1.         0.50152691
 0.23714432 0.08333333]",0.1058395646526038,0.2855000000000001,0.1114,0.1741000000000001
"[0.         1.         0.55737705 0.32323232 0.32224084 0.53353204
 0.4472783  0.06666667]",0.1058395646526038,0.28390000000000004,0.1073,0.17660000000000003
"[0.         1.         0.42622951 0.1010101  0.94093087 0.414307
 0.47093099 0.01666667]",0.1058395646526038,0.26470000000000005,0.10900000000000001,0.15570000000000003
"[0.11764706 1.         0.54098361 0.23232323 0.5013171  0.47988077
 0.54020205 0.01666667]",0.1058395646526038,0.2743,0.10880000000000001,0.16549999999999998
"[0.11764706 1.         0.52459016 0.         0.94504849 0.45901639
 0.46622886 0.        ]",0.1058395646526038,0.2569,0.10850000000000001,0.1484
"[0.         1.         0.55737705 0.32323232 0.32224084 0.53353204
 0.4472783  0.06666667]",0.1058395646526038,0.28390000000000004,0.1073,0.17660000000000003
"[0.11764706 1.         0.54098361 0.22222222 0.75171118 0.37257824
 0.49622881 0.05      ]",0.1058395646526038,0.2872,0.10629999999999999,0.1809
"[0.05882353 1.         0.55737705 0.35353535 0.32809646 0.47690015
 0.62134843 0.01666667]",0.1058395646526038,0.2753,0.10765,0.16765
"[0.05882353 1.         0.70491803 0.19191919 0.77486581 0.4485842
 0.59851223 0.03333333]",0.1058395646526038,0.2713,0.1072,0.16409999999999997
"[0.         1.         0.72131148 0.29292929 0.37680175 0.54992548
 0.6989409  0.        ]",0.1058395646526038,0.25570000000000004,0.10695000000000002,0.14875000000000002
"[0.05882353 1.         0.50819672 0.         1.         0.50152691
 0.23714432 0.08333333]",0.1058395646526038,0.2855000000000001,0.1114,0.1741000000000001
"[0.17647059 1.         0.47540984 0.11111111 0.89098327 0.36959762
 0.4894943  0.01666667]",0.1058395646526038,0.27669999999999995,0.10835,0.16834999999999994
"[0.05882353 1.         0.52459016 0.27272727 0.3637549  0.4947839
 0.5822849  0.        ]",0.1058395646526038,0.26070000000000004,0.10594999999999999,0.15475000000000005
"[0.05882353 1.         0.57377049 0.15151515 1.         0.34826075
 0.65031584 0.        ]",0.1058395646526038,0.26460000000000006,0.1074,0.15720000000000006
"[0.05882353 1.         0.50819672 0.         1.         0.50152691
 0.23714432 0.08333333]",0.1058395646526038,0.2855000000000001,0.1114,0.1741000000000001
"[0.         1.         0.69672131 0.25252525 0.5089952  0.55737705
 0.5411593  0.05      ]",0.1058395646526038,0.2754,0.10955000000000001,0.16584999999999997
"[0.         1.         0.55737705 0.32323232 0.32224084 0.53353204
 0.4472783  0.06666667]",0.1058395646526038,0.28390000000000004,0.1073,0.17660000000000003
"[0.05882353 1.         0.52459016 0.13131313 1.         0.36881043
 0.51303474 0.03333333]",0.1058395646526038,0.27580000000000005,0.10830000000000001,0.16750000000000004
"[0.05882353 1.         0.50819672 0.13131313 1.         0.38077622
 0.50708263 0.03333333]",0.1058395646526038,0.27859999999999996,0.11,0.16859999999999997
