CFX,AAAI δ_max,Wilks δ_max,MILP δ_max,Difference
"[0.12418301 0.08760177 0.         0.00186916 0.05027095 0.
 0.01939885 0.01076796 0.12418301]",0.10821238236127151,0.28790000000000004,0.10980000000000001,0.17810000000000004
"[0.04248366 0.04365302 0.02307692 0.         0.0628375  0.
 0.06203368 0.05928293 0.04248366]",0.10821238236127151,0.29594999999999994,0.1092,0.18674999999999992
"[0.12418301 0.04675054 0.         0.01495327 0.08531785 0.
 0.01939885 0.01076796 0.12418301]",0.10821238236127151,0.3016,0.10930000000000001,0.19229999999999997
"[0.16993464 0.10266819 0.         0.00934579 0.02619736 0.
 0.01939885 0.01076796 0.16993464]",0.10821238236127151,0.29699999999999993,0.1095,0.18749999999999994
"[0.05228758 0.00506453 0.         0.00186916 0.15493259 0.
 0.0066084  0.0036682  0.05228758]",0.10821238236127151,0.28800000000000003,0.1101,0.17790000000000003
"[0.11764706 0.0392146  0.03846154 0.00373832 0.11514187 0.
 0.01726711 0.00958466 0.11764706]",0.10821238236127151,0.3068,0.11035,0.19645
"[0.00326797 0.01538462 0.00769231 0.02056075 0.11439954 0.
 0.03432104 0.019051   0.00326797]",0.10821238236127151,0.2701,0.10845000000000002,0.16165
"[0.18627451 0.10586984 0.00769231 0.01682243 0.02371777 0.
 0.01939885 0.01076796 0.18627451]",0.10821238236127151,0.30820000000000003,0.1115,0.19670000000000004
"[0.22222222 0.10929187 0.         0.00747664 0.017394   0.
 0.01726711 0.00958466 0.22222222]",0.10821238236127151,0.3108,0.10994999999999999,0.20085000000000003
"[0.02614379 0.01538462 0.02307692 0.01869159 0.13226285 0.
 0.01939885 0.01076796 0.02614379]",0.10821238236127151,0.28200000000000003,0.10820000000000002,0.1738
"[0.21895425 0.10717919 0.         0.00747664 0.01955055 0.
 0.01939885 0.01076796 0.21895425]",0.10821238236127151,0.31420000000000003,0.11085,0.20335000000000003
"[0.70915033 0.19569364 0.01538462 0.00373832 0.71495543 0.
 0.70432744 0.58697196 0.70915033]",0.10821238236127151,0.45310000000000006,0.10835,0.34475000000000006
"[0.3627451  0.09154017 0.         0.         0.65803308 0.
 0.64826263 0.54029109 0.3627451 ]",0.10821238236127151,0.3811,0.10820000000000002,0.2729
"[0.16013072 0.10454291 0.01538462 0.00373832 0.03615936 0.
 0.01939885 0.01076796 0.16013072]",0.10821238236127151,0.30000000000000004,0.1115,0.18850000000000006
"[0.06535948 0.01457834 0.00769231 0.01308411 0.13090248 0.
 0.01726711 0.00958466 0.06535948]",0.10821238236127151,0.29679999999999995,0.11005000000000001,0.18674999999999994
